Category: All categories

Month,debt: (Worldwide)
2004-01,58
2004-02,62
2004-03,55
2004-04,57
2004-05,56
2004-06,54
2004-07,54
2004-08,52
2004-09,54
2004-10,56
2004-11,61
2004-12,48
2005-01,56
2005-02,57
2005-03,55
2005-04,55
2005-05,52
2005-06,52
2005-07,49
2005-08,51
2005-09,51
2005-10,52
2005-11,50
2005-12,45
2006-01,55
2006-02,56
2006-03,59
2006-04,57
2006-05,52
2006-06,54
2006-07,56
2006-08,55
2006-09,56
2006-10,57
2006-11,54
2006-12,47
2007-01,56
2007-02,54
2007-03,53
2007-04,53
2007-05,51
2007-06,48
2007-07,51
2007-08,51
2007-09,51
2007-10,55
2007-11,50
2007-12,45
2008-01,57
2008-02,55
2008-03,52
2008-04,52
2008-05,48
2008-06,46
2008-07,51
2008-08,48
2008-09,62
2008-10,69
2008-11,59
2008-12,53
2009-01,59
2009-02,61
2009-03,60
2009-04,58
2009-05,52
2009-06,53
2009-07,55
2009-08,54
2009-09,51
2009-10,53
2009-11,54
2009-12,48
2010-01,53
2010-02,61
2010-03,59
2010-04,57
2010-05,54
2010-06,50
2010-07,49
2010-08,47
2010-09,47
2010-10,48
2010-11,51
2010-12,42
2011-01,49
2011-02,48
2011-03,48
2011-04,52
2011-05,47
2011-06,48
2011-07,100
2011-08,83
2011-09,65
2011-10,58
2011-11,61
2011-12,49
2012-01,56
2012-02,53
2012-03,46
2012-04,46
2012-05,47
2012-06,41
2012-07,42
2012-08,43
2012-09,52
2012-10,51
2012-11,51
2012-12,38
2013-01,50
2013-02,45
2013-03,42
2013-04,42
2013-05,38
2013-06,35
2013-07,36
2013-08,36
2013-09,41
2013-10,69
2013-11,39
2013-12,33
2014-01,40
2014-02,44
2014-03,41
2014-04,41
2014-05,38
2014-06,36
2014-07,37
2014-08,35
2014-09,37
2014-10,38
2014-11,37
2014-12,35
2015-01,39
2015-02,42
2015-03,40
2015-04,41
2015-05,38
2015-06,42
2015-07,48
2015-08,37
2015-09,39
2015-10,41
2015-11,39
2015-12,36
2016-01,42
2016-02,59
2016-03,47
2016-04,46
2016-05,44
2016-06,42
2016-07,41
2016-08,41
2016-09,45
2016-10,46
2016-11,48
2016-12,40
2017-01,48
2017-02,49
2017-03,48
2017-04,46
2017-05,46
2017-06,43
2017-07,43
2017-08,43
2017-09,46
2017-10,46
2017-11,46
2017-12,41
2018-01,45
2018-02,49
2018-03,46
2018-04,49
2018-05,47
2018-06,42
2018-07,41
2018-08,42
2018-09,45
2018-10,47
2018-11,45
2018-12,41
2019-01,49
2019-02,51
2019-03,47
2019-04,48
2019-05,45
2019-06,44
2019-07,46
2019-08,46
2019-09,47
2019-10,48
2019-11,46
2019-12,44
2020-01,49
